id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
011001,5267,62,39,522,145,127,2569,30,322,346,50,9,2,258,41,179,1141
011002,13220,41,18,449,87,158,4534,16,224,309,75,5,0,359,111,87,924
011003,20868,140,89,1742,471,313,10485,87,696,926,148,44,16,1146,342,798,3195
011004,4627,38,18,256,61,64,2276,34,289,462,77,17,11,451,196,79,886
012005,7999,66,40,689,176,215,2605,35,399,428,102,25,10,546,81,791,1440
012006,10525,50,33,691,160,219,4461,28,389,446,82,29,10,479,77,464,1363
013007,6721,55,36,736,174,252,2741,41,371,244,86,36,15,442,72,228,1393
013008,6828,57,28,658,177,235,3055,75,415,342,94,34,13,541,204,198,1338
014009,6573,83,45,753,159,259,2857,52,483,287,129,26,12,506,130,200,1570
014010,9546,98,58,1039,277,292,3552,45,492,405,117,53,23,703,194,654,1995
019900,4542,73,61,321,115,87,2780,42,360,183,0,9,1,194,40,161,655
021001,9987,122,63,735,253,225,4177,48,610,463,82,41,18,662,132,1023,1582
022002,9965,88,47,729,221,241,5512,114,747,1276,110,13,7,729,134,229,1751
023003,5787,76,54,494,179,106,2546,22,217,287,40,21,2,372,108,659,927
023004,5231,98,64,410,166,92,2182,31,240,419,62,25,9,489,192,805,936
024005,2432,21,14,174,47,61,1316,44,239,262,78,10,8,285,93,28,519
024006,6320,63,44,650,226,111,2948,48,239,294,54,10,6,468,142,564,1130
025007,4390,26,12,320,101,76,1894,29,184,377,56,28,11,516,137,126,860
025008,9123,76,48,907,354,187,3727,55,329,597,129,29,6,1016,372,964,2035
029900,1614,38,28,117,42,40,906,22,176,144,0,2,1,92,14,143,248
031001,1602,16,7,208,52,63,657,19,84,117,24,19,6,211,46,37,424
032002,1442,5,1,108,25,41,703,20,173,109,47,6,3,157,47,10,282
032003,768,5,2,49,7,29,372,21,75,44,20,4,0,90,17,9,149
033004,851,4,3,87,18,33,406,13,54,96,73,3,0,75,13,19,173
033005,1255,7,2,118,32,33,657,20,71,110,53,14,8,98,27,11,200
034006,933,12,7,55,12,27,480,13,120,58,63,2,1,93,15,5,172
034007,3501,34,22,250,61,98,1833,48,203,495,75,21,9,390,129,39,740
034008,2593,15,5,207,61,82,1272,70,238,342,45,8,0,294,106,28,550
035009,3246,30,16,376,96,118,1447,51,200,260,60,17,7,389,97,52,802
035010,1411,12,7,149,22,50,593,19,115,106,18,14,5,157,34,37,335
036011,3465,29,11,254,92,65,1879,34,169,418,41,11,7,300,126,118,787
036012,3011,26,13,161,44,53,1773,57,163,426,58,7,0,279,78,47,691
036013,2749,15,7,183,53,45,1566,11,94,301,42,4,1,307,129,48,902
036014,4254,33,21,294,69,94,2057,67,356,302,76,31,14,472,224,53,665
037015,3655,21,5,352,103,67,1990,39,318,350,80,13,3,368,133,50,791
037016,2719,17,9,172,40,67,1462,47,284,352,55,18,8,362,168,35,590
039900,1295,22,16,80,17,48,610,33,161,138,2,3,2,84,12,34,213
041001,2846,23,9,331,82,116,1083,80,372,105,40,9,2,261,17,198,759
042002,1337,15,9,119,31,23,644,37,171,72,68,12,7,170,50,29,270
042003,4458,27,19,326,78,122,2465,105,354,174,70,15,8,272,38,36,735
043004,5193,35,15,416,83,155,2727,89,385,445,116,17,9,449,153,90,1062
